,playlist_id,track_ids
0,714675735,"579500367,580042758,579536151,576779019"
1,587788473,"488483631,489908994,489861156,490467948,490467639,490321956,490786203,490868391,491147406,491209236,491244099,491330514,491656209,491689998,488951625,491723583,491191740,492178536,491254545,492311772,492173616,493120869,492757935,493274247,493255377,493672062,493336104,493633365,493794651,493787658,494380656,494039277,494611506,494560410,495354129,494563818,495550617,495472713,497013897,497024331,498289398,490758390,491747352,494039811,502057803,494415855"
2,350648680,"341109211,341109215"
3,300219818,"310786869,307508072,316383304,312299851,315676359,307813815,306693460,307510363,307712086,307504653,307671296,308013745,308241988,308674584,309744150,309640298,311360245,311176744,316564685"
4,216167055,"259255528,259255516,259328026,259255504,259255485,259255475,259255467,259255459,259328030,259255446,259255433"
5,1017293962,"781590466,781588645,781583458"
6,690811602,"562465287,562467351,562476936,562478865,562480515,562481421,562484433,562484994,562485561"
7,672668703,"550542966,553221570,567251040"
8,624790290,"515558226,517918170"
9,316890029,308377788
10,316889583,"318598394,318598392"
11,823840664,"1095550030,349398703,1102945099,1098129229,453875256,1101870271,900715090,1089363859,556917372,701416732,850114072,640461198,348968190,956444059,285798783,551814558,594981003,781633501,739696177,705430789,932238127,1027073488,734574760,765844771,705435706,647492511,480695190,839883898,865162030,478250925,807768370,576308199,959137144,292501966,895839433,916911803,427175256,958644784"
12,1159874053,"790057138,883504528,957982663,629532513,857004658,380896025,984162430,783736045,986058280,777926734,930791986,1017916555,784517488,880630039,472396446,1027073488,500599830,511022970,212918945,67169179,369900722,322410229,1080208045,995642332,970724734,559345755,348140906,752477050,1111441057,1112239837,347790984,275007442,312505725,874358797,935669287,963034144,1145007028,1076314975,21094471"
13,1119279487,"869505583,782071333,714062422,714470164,722984713,714134431,832610161,971012488,1018992415,891645973,991698880,1040159506,902755393,848446369,1072127569,547308486,1064808382,1093209757,1002943282,957337000,871938127,1093775440,761145142,833117902,904961611,1111757311,1107646153,1113266476,1113955978,213355482,589546659,1128976615,1140233680,1143654946,985280818,938519755,1004527153,1147945990"
14,679271892,"319061774,308784985,296493831,268552812,204943963,204516646,199215184"
15,677515845,"128151878,195604206,217189890,226994170,227472265,231342392,31150754"
16,663837183,"193831662,541972470"
17,424765151,"366189464,373018955"
18,408524012,"371574113,357929585,366189464"
19,1282429156,"1089071467,1092135643,1093706026"
20,1282429000,"1081173439,1080858385,1080645784,1080489757,1080290833,1078284922,1078284322,1078270468,1078266169,1078248091,1078226674,1077564556,1077013213,1074842536,1072210165,1071715756,1071707890,1071704902,1071699310,1081809289,1091883205,1092129646,1093689535,1093692940,1093693597,1093694029,1093695184,1093697809,1093698787,1093699723,1093701238,1093704409,1093704145,1093704601,1093706302,1099910608"
21,783310689,"622105188,615517524,615139296"
22,765463422,"470632218,470643381,481671366,532691727"
23,679822902,"455069910,503544282,532691727,615139296,615517524,622105188,652992875"
24,1240391074,"1022515213,1020231760,1017260326,1015316224,1026484321,1029913753"
25,1091835895,"857002882,822326536"
26,893228158,"690937351,691669087,691292329,691704700,691364692,691085677,691509136,692111149,691817293,691786573,691806346,692189257,692158360,692228824,689941873,692686003,692557627,692649127,691346692,690330085,690887386,689905408,690277951,686582410,689497996,688926973,689848546"
27,693481221,"324057955,344828209,512773056,512745000,478250925,518910246,533914473,544422462,531329904,420777284,488579949,524932509,235056184,549521592,538255590"
28,652064286,"371547173,219857840,330140543,48579913,157255391,265854550,250865593,380077319,310557955,236594196,128388132,157103742,442980336,413494266,373038791,259636765,55572470,236170297,264188625,211392173,155403766"
29,284427143,"247004988,130488369,141342391,257784609,291315465,242228214,289098590,194641897"
30,239810030,"227706335,263375147,232780649,235924551,176725427,217157727,106752870"
31,47399293,"131284492,102790614,100891505,93662956,69463613,38059367,103227125"
32,28747852,"45756955,108644796,37956744,108638639,95516581,46797757,165690314,166334803,196754495"
33,1261337917,"1054045474,1053517621,1052976379,1054605022"
34,1126746256,"635029809,706830991,667424474,630027105,734522803,739592365,689921419,916724584"
35,1055332342,"563366595,701416732,576240237,683250464,657182609,568331088,612107445,805240192,778499590,759716398,789669232,776421040"
36,970515025,"597848919,306885110,550575519,637293423,732281023,709022296,226437354,772547575,661301081,642267015,770062138,490871916,718664728,646011285,827463457,864343489,650521052,828384145,635029809,880497943,908903812,945795757,988792285,732259933,1064844274,1092652750,586581441"
37,966345736,"732193435,642267015,742087204,671172065,651014558,477439365,236395716,99713437,332552281,292084444,767365621,518098881,614579337,794365624,379201148,279355299,691375243,597803793,698559727,63960382,874358797,841003468,820827280,889177348,436858956,872290627,1006668610,443789991"
38,424765151,"366189464,373018955"
39,408524012,"371574113,357929585,366189464"
40,1332996058,"1143607591,1143607525,1143607564,1143607489,1143607399"
41,1319609923,"1128394630,1128394612"
42,1310532772,"1117491331,1117491301,1117491337,1117491346,1117491310,1117491319"
43,1305614020,"1111125844,1111125826,1111125799,1111125784"
44,1302646054,"1107333436,1107333412,1107333394,1107333376,1107333370,1107333352,1107333334,1107333319,1107333301,1107333292,1107333274"
45,1272531685,"1068385786,1068385750"
46,1253493508,"1044337021,1044336994,1044336985,1044336979,1044336970,1044336952,1044336928,1044336910,1044336901,1044336874,1044336859,1044336823,863127868"
47,1255789834,"1047411607,1047417433"
48,1045127335,"313578881,813402151"
49,1045122184,"608720562,622598697"
50,1015243402,"776417809,776033065,779472028"
51,764575986,"544424649,535718337,611160621,520248870"
52,764574459,"662818754,662821712,608720562,647856438"
53,1331537152,"1136595940,1113222148,1109829856,1023076633,1096385347"
54,1325701207,"1135255201,1133596975,959557780,802785163,451916730,1104935158,1078296559,1056819622,1043991775,1032705931,1139388241,907872841,868491022,858529753,740314084,722395657,679303794,673025651,598290909,544937022,533079258,527828619,505316976,483126177,397482513,395836278,386919542,362680208,307243528,436826439,340840375,309955830"
55,1211392555,"985533259,985542991,985531993"
56,1182235966,"951870325,951870298"
57,1315309084,"643870710,734206078,774911950,623591157,342870600,367588886,883523521,339416501"
58,1315306291,"1105383481,1010954761,1113145054,1077526381,1045085674,970388497,971698267"
59,1315296121,"1028189455,1108324891,781154188,1078392811,1058744290,1104456397,403586139,56258178,861859702,1091021023"
