,playlist_id,track_ids
0,823840664,"1095550030,349398703,1102945099,1098129229,453875256,1101870271,900715090,1089363859,556917372,701416732,850114072,640461198,348968190,956444059,285798783,551814558,594981003,781633501,739696177,705430789,932238127,1027073488,734574760,765844771,705435706,647492511,480695190,839883898,865162030,478250925,807768370,576308199,959137144,292501966,895839433,916911803,427175256,958644784"
1,1253106376,"1029472642,1124444884,1123301269,979640968,1078669492,1027176418"
2,1241080828,"859529269,828858676,713662615,681812705,573084456,525607575,497024331,445815945,430392672"
3,1154450500,"1007561374,1078669492,1029472642,836783203,827530567,979640968,709276357,920863999,1027176418,949360693"
4,424765151,"366189464,373018955"
5,408524012,"371574113,357929585,366189464"
6,1126746256,"516200271,635029809,706830991,667424474,630027105,734522803,739592365,689921419,916724584"
7,1055332342,"563366595,701416732,576240237,683250464,657182609,568331088,612107445,805240192,778499590,759716398,789669232,776421040"
8,970515025,"597848919,306885110,550575519,637293423,732281023,709022296,226437354,772547575,661301081,642267015,770062138,490871916,718664728,646011285,827463457,864343489,650521052,828384145,635029809,880497943,908903812,945795757,988792285,732259933,1064844274,1092652750,586581441"
9,966345736,"732193435,642267015,742087204,671172065,651014558,477439365,236395716,99713437,332552281,292084444,677090841,767365621,518098881,614579337,794365624,379201148,279355299,691375243,597803793,698559727,63960382,874358797,841003468,820827280,889177348,436858956,872290627,1006668610,443789991"
10,936793684,"307515869,752477050,779458399,397311528,744621817,679816256,569095203,338474318,495569196,541662594,707028082,620526939,612398109,422241600,810536950,881217946,860721631,970784617"
11,299675719,"265329617,294822225,242813519"
12,299675714,"250830766,202854228,229272209,232629333,236490686,237242362,212360469,214416327,226867770,228169694,260819422,202812462"
13,297167780,192575844
14,296627984,"294691667,297704455,304819454,258996229,275869874,296094718,298214502,304373066,304799398,304806373,252739311,303887428,257939729,264023874,297272406,231782838,290991580,304770374,304802210,258039764,304744944,289106906"
15,296627979,"303697520,197729979"
16,296627975,"299905262,170726477"
17,296627973,"280186218,298167372,237603952,204088308,305529841,304745662,242403462"
18,296627968,"84940896,90316388,274793736,13394501"
19,111161454,206959480
20,1332996058,"1143607591,1143607525,1143607564"
21,1319609923,"1128394630,1128394612"
22,1310532772,"1117491331,1117491301,1117491337,1117491346,1117491310,1117491319"
23,1305614020,"1111125844,1111125826,1111125799,1111125784"
24,1302646054,"1107333436,1107333412,1107333394,1107333376,1107333370,1107333352,1107333334,1107333319,1107333301,1107333292,1107333274"
25,1272531685,"1068385786,1068385750"
26,1253493508,"1044337021,1044336994,1044336985,1044336979,1044336970,1044336952,1044336928,1044336910,1044336901,1044336874,1044336859,1044336823,863127868"
27,1240391074,"1022515213,1020231760,1017260326,1015316224,1026484321,1029913753"
28,1091835895,"857002882,822326536"
29,893228158,"690937351,691669087,691292329,691704700,691364692,691085677,691509136,692111149,691817293,691786573,691806346,692189257,692158360,692228824,689941873,692686003,692557627,692649127,691346692,690330085,690887386,689905408,690277951,686582410,689497996,688926973,689848546"
30,693481221,"324057955,344828209,512773056,512745000,478250925,518910246,516200271,533914473,544422462,531329904,420777284,488579949,524932509,235056184,549521592,538255590"
31,652064286,"371547173,219857840,330140543,48579913,157255391,265854550,250865593,380077319,310557955,236594196,128388132,157103742,442980336,413494266,373038791,259636765,55572470,236170297,264188625,211392173,155403766"
32,284427143,"247004988,130488369,141342391,257784609,291315465,242228214,289098590,194641897"
33,239810030,"227706335,263375147,232780649,235924551,176725427,217157727,106752870"
34,47399293,"131284492,102790614,100891505,93662956,69463613,38059367,103227125"
35,28747852,"45756955,108644796,37956744,108638639,95516581,46797757,165690314,166334803,196754495"
36,679271892,"319061774,308784985,296493831,268552812,204943963,204516646,199215184"
37,677515845,"128151878,195604206,217189890,226994170,227472265,231342392,31150754"
38,663837183,"193831662,541972470"
39,1017293962,"781590466,781588645,781583458"
40,690811602,"562465287,562467351,562476936,562478865,562480515,562481421,562484433,562484994,562485561"
41,672668703,"550542966,553221570,567251040"
42,624790290,"515558226,517918170"
43,316890029,308377788
44,316889583,"318598394,318598392"
45,108497672,"178242213,176980481,149281688,144347040,128631027,112857079,179459981"
46,1282429156,"1089071467,1092135643,1093706026"
