	User Name	Playlists Of One User	Tracks Of One Playlist
0	Hustlang Winno 🐉🐍	None	None
1	THINHHO	None	None
2	YC	"
Tren Lau Cao Remixes
"	"
    Rhymastic - Trên Lầu Cao ( Zan x TeaA remix )
  "
3	YC	"
Tren Lau Cao Remixes
"	"
    Rhymastic - Trên Lầu Cao (Alden Remix)
  "
4	YC	"
Tren Lau Cao Remixes
"	"
    TRENLAUCAO
  "
5	YC	"
Tren Lau Cao Remixes
"	"
    Hater Thì Sao? | TeeDee Remix (Trên Lầu Cao - Rhymastic)
  "
6	YC	"
Nen va Hoa Remixes
"	"
    NENVAHOA ( FLIP )
  "
7	YC	"
Nen va Hoa Remixes
"	"
    NEN VA HOA - Rhymastic ( AppleTheProd Remix )
  "
8	YC	"
Nen va Hoa Remixes
"	"
    nến và hoa (remix)
  "
9	YC	"
Nen va Hoa Remixes
"	"
    Rhymastic - Nến Và Hoa ( HieuNguyen remix )
  "
10	YC	"
Nen va Hoa Remixes
"	"
    Nen Va Hoa ( RMX )
  "
11	YC	"
Treasure (Instrumental & Acapella)
"	"
    Treasure Instrumental 90bpm
  "
12	YC	"
Treasure (Instrumental & Acapella)
"	"
    Treasure Vocal 90bpm
  "
13	YC	"
Yêu 5 Remix
"	"
    Yêu 5 - Rhymastic (NhatNguyen X Shenlong Remix)
  "
14	YC	"
Yêu 5 Remix
"	"
    Rhymastic - YEU 5 (Hoaprox remix)
  "
15	YC	"
Yêu 5 Remix
"	"
    Yeu5
  "
16	YC	"
Yêu 5 Remix
"	"
    Yêu 5 - Rhymastic (Ego Remix)(buy = free download)
  "
17	YC	"
Yêu 5 Remix
"	"
    Rhymastic - Yeu 5 (BeeBB x CM1X Remix)
  "
18	YC	"
Team 04 - The Remix 2016 Official Audio
"	"
    Day Dream (Vong 1)
  "
19	YC	"
Team 04 - The Remix 2016 Official Audio
"	"
    Chuyen Chang Co Don (Vong 2)
  "
20	YC	"
Team 04 - The Remix 2016 Official Audio
"	"
    ""THE REMIX 2016"" - AYO (GIN REMIX)
  "
21	YC	"
Team 04 - The Remix 2016 Official Audio
"	"
    Chi Toi (Vong 4)
  "
22	YC	"
Team 04 - The Remix 2016 Official Audio
"	"
    Ve Khoi (Vong 5)
  "
23	Hieu Tran Music Producer	"
Khúc Hát Đôi Bàn Tay - (ST. Nhạc Sỹ Phạm Tuyên) - Hiếu Trần
"	"
    Khúc hát đôi bàn tay - (ST. Nhạc Sỹ Phạm Tuyên) - Hiếu Trần ( Karaoke thiếu nhi)
  "
24	Hieu Tran Music Producer	"
Khúc Hát Đôi Bàn Tay - (ST. Nhạc Sỹ Phạm Tuyên) - Hiếu Trần
"	"
    Khúc hát đôi bàn tay - (ST. Nhạc Sỹ Phạm Tuyên) - Hiếu Trần ( Beat chuẩn)
  "
25	Hieu Tran Music Producer	"
Khúc Hát Đôi Bàn Tay - (ST. Nhạc Sỹ Phạm Tuyên) - Hiếu Trần
"	"
    Khúc hát đôi bàn tay - (ST. Nhạc Sỹ Phạm Tuyên) - Hiếu Trần
  "
26	Hieu Tran Music Producer	"
Album nhạc xưa "" Hà Anh Tuấn ... biết tương tư"" - 2013
"	"
    Bao giờ biết tương tư - Hà Anh Tuấn
  "
27	Hieu Tran Music Producer	"
Album nhạc xưa "" Hà Anh Tuấn ... biết tương tư"" - 2013
"	"
    Cỏ Úa - Hà Anh Tuấn & Phương Linh
  "
28	Hieu Tran Music Producer	"
Album nhạc xưa "" Hà Anh Tuấn ... biết tương tư"" - 2013
"	"
    Comme Toi - Hà Anh Tuấn
  "
29	Hieu Tran Music Producer	"
Album nhạc xưa "" Hà Anh Tuấn ... biết tương tư"" - 2013
"	"
    Kiếp đam mê - Hà Anh Tuấn
  "
30	Hieu Tran Music Producer	"
Album nhạc xưa "" Hà Anh Tuấn ... biết tương tư"" - 2013
"	"
    Lại gần hôn anh - Hà Anh Tuấn
  "
31	Hieu Tran Music Producer	"
Phương Vy - Hiếu Trần Jazz Series
"	"
    Vui như Tết - Phương Vy Idol
  "
32	Hieu Tran Music Producer	"
Phương Vy - Hiếu Trần Jazz Series
"	"
    What A Wonderful World - Phương Vy Idol - Chào 2019
  "
33	Hieu Tran Music Producer	"
Phương Vy - Hiếu Trần Jazz Series
"	"
    Saigon đẹp lắm - Phương Vy Idol
  "
34	Hieu Tran Music Producer	"
Phương Vy - Hiếu Trần Acoustic Series
"	"
    Khi người yêu tôi khóc - Phương Vy Idol & Family
  "
35	Hieu Tran Music Producer	"
Phương Vy - Hiếu Trần Acoustic Series
"	"
    Đường xa ướt mưa - Phương Vy Idol & Sean Trace
  "
36	Hieu Tran Music Producer	"
Câu chuyện làm quen ( Single) - Quốc Thiên
"	"
    Câu chuyện làm quen - Quốc Thiên
  "
37	𝘂𝗺𝗰𝗻𝗴𝗱𝗰 🎶	None	None
38	L2Share♫140	None	None
39	Nan Kohsoom Ho	"
km
"	"
    XE ĐẠP (CM1X Lofi Ver.)  -  Charles
  "
40	Nan Kohsoom Ho	"
km
"	"
    Phải Là Yêu - HIEUTHUHAI
  "
41	Nan Kohsoom Ho	"
km
"	"
    Bồ em - Dính
  "
42	Nan Kohsoom Ho	"
km
"	"
    Thật Lòng - Đào Bá Lộc
  "
43	Nan Kohsoom Ho	"
km
"	"
    Thật Tâm Em Rất Yêu Anh - Đào Bá Lộc
  "
44	Nan Kohsoom Ho	"
prince
"	"
    ยังคู่กัน (Still Together)Ost.เพราะเรา(ยัง)คู่กัน Still 2gether - ไบร์ท วชิรวิชญ์, วิน เมธวิน
  "
45	Nan Kohsoom Ho	"
prince
"	"
    Kan Gooคั่นกู - Bright Vachirawitไบร์ท วชิรวิชญ์ (ost 2Gether The Series)
  "
46	Nan Kohsoom Ho	"
prince
"	"
    พบเพื่อจาก...รักเพื่อลา (Ost. Until We Meet Again The Series)- Boy Sompob
  "
47	Nan Kohsoom Ho	"
prince
"	"
    I Found You (Ost. Until We Meet Again The Series) - Dome Jaruwat
  "
48	Nan Kohsoom Ho	"
prince
"	"
    หรือเราเคยพบกัน (Ost. Until We Meet Again The Series) - บุ๋น นพณัฐ กันทะชัย
  "
49	Lkang	None	None
50	Đặng Gia Linh	"
Chill
"	"
    Mỹ Anh challenge
  "
51	Đặng Gia Linh	"
Chill
"	"
    San Francisco Street
  "
52	Đặng Gia Linh	"
Chill
"	"
    3107-3 ( Cover by Mickey & Thuy An )
  "
53	Đặng Gia Linh	"
Chill
"	"
    3107-3 (lofi ver. by VUX) - W/n x Nâu x Duongg x Titie
  "
54	Đặng Gia Linh	"
Chill
"	"
    Khi co don em nho ai
  "
55	Ronniboi	"
Sounds
"	"
    I have to go, she said
  "
56	Ronniboi	"
Sounds
"	"
    Love is in the air
  "
57	Ronniboi	"
Sounds
"	"
    Springtime
  "
58	Ronniboi	"
Sounds
"	"
    Moonlight
  "
59	Ronniboi	"
Sounds
"	"
    night stars
  "
60	Ronniboi	"
Ronniboi x JayV
"	"
    Beo Dat May Troi remix - Ronniboi and JayV
  "
61	Ronniboi	"
Ronniboi x JayV
"	"
    Butterflies (feat. JayV)
  "
62	Ronniboi	"
Ronniboi x JayV
"	"
    Another Chance (feat. JayV)
  "
63	Ronniboi	"
Ronniboi x JayV
"	"
    Crazy for you (feat. JayV)
  "
64	Ronniboi	"
Ronniboi x JayV
"	"
    If She Knows - JayV x RonniBoi
  "
65	Ronniboi	"
People
"	"
    People
  "
66	Ronniboi	"
People
"	"
    People 2
  "
67	yafu	None	None
68	VUX	None	None
69	VRT	None	None
70	ShenlongZ	"
REMIXES
"	"
    Big City Boi - Binz X Touliver (ShenlongZ Remix)
  "
71	ShenlongZ	"
REMIXES
"	"
    Buồn thì Cứ Khóc Đi - LynkLee (ShenlongZ RMX)
  "
